# eta = 0.5, tau = 0, delta = 0.1
# N = 256, D = 100, M = 121
# q_min = 3.8147e-07, q_max = 40
# h_initial = 1e-09, v_therm = 2.5	D0 = 0.00625
#t	m[1]	m[2]	m[3]	m[4]	m[5]	m[6]	m[7]	m[8]	m[9]	m[10]	m[11]	m[12]	m[13]	m[14]	m[15]	m[16]	m[17]	m[18]	m[19]	m[20]	m[21]	m[22]	m[23]	m[24]	m[25]	m[26]	m[27]	m[28]	m[29]	m[30]	m[31]	m[32]	m[33]	m[34]	m[35]	m[36]	m[37]	m[38]	m[39]	m[40]	m[41]	m[42]	m[43]	m[44]	m[45]	m[46]	m[47]	m[48]	m[49]	m[50]	m[51]	m[52]	m[53]	m[54]	m[55]	m[56]	m[57]	m[58]	m[59]	m[60]	m[61]	m[62]	m[63]	m[64]	m[65]	m[66]	m[67]	m[68]	m[69]	m[70]	m[71]	m[72]	m[73]	m[74]	m[75]	m[76]	m[77]	m[78]	m[79]	m[80]	m[81]	m[82]	m[83]	m[84]	m[85]	m[86]	m[87]	m[88]	m[89]	m[90]	m[91]	m[92]	m[93]	m[94]	m[95]	m[96]	m[97]	m[98]	m[99]	m[100]	m[101]	m[102]	m[103]	m[104]	m[105]	m[106]	m[107]	m[108]	m[109]	m[110]	m[111]	m[112]	m[113]	m[114]	m[115]	m[116]	m[117]	m[118]	m[119]	m[120]
2.88e-07	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	113.644	113.652	113.668	113.75	114.078	115.401	89.8245	89.3898	94.8302	104.395	118.583	138.959	168.326	211.496	276.96	380.531	553.855	866.28	1487.63	2888.59	6437.01	13634.4	14053.8	8339.55	5170.06	3702.13	2992.61	2661.04	2557.02	2623.89	2850.26	3250.71	3851.18	4659	5596.33	6420.73	6788.81	6556.63	5929.65	5217.43	4607.21	4158.4	3869.65	3723.37	3702.92	3796.17	3992.97	4278.91	4626.44	4986.15	5286.78	5454.78	5449.43	5286.16	5024.47	4733.99	4468.77	4260.64	4124.08	4063.09	4075.71	4155.76	4292.17	4467.3	4655.57	4824.72	4941.76	4982.72	4941.55	4831.96	4680.88	4518.43	4370.35	4254.79	4182.42	4157.66	4179.64	4242.62	4335.96	4444.44	4549.48	4631.94	4676.17	4673.95	4626.61	4544.07	4441.59	4336.01	4242.63	4173.02	4133.28	4122.4	4130.73	4139.72	4123.83	4055.95	3915.95	3699.84	3425.16	3128.17	2852.58	2634.18	2488.92	2409.04	2367.96
3.2e-07	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	113.644	113.652	113.668	113.75	114.078	115.401	89.8245	89.3898	94.8302	104.395	118.583	138.959	168.326	211.496	276.96	380.531	553.855	866.28	1487.63	2888.59	6437.01	13634.4	14053.8	8339.55	5170.06	3702.13	2992.61	2661.04	2557.01	2623.89	2850.26	3250.71	3851.18	4659	5596.33	6420.73	6788.81	6556.62	5929.65	5217.43	4607.21	4158.39	3869.65	3723.37	3702.91	3796.17	3992.96	4278.91	4626.44	4986.15	5286.78	5454.78	5449.43	5286.16	5024.47	4733.99	4468.77	4260.64	4124.08	4063.08	4075.71	4155.76	4292.17	4467.3	4655.57	4824.72	4941.76	4982.72	4941.55	4831.96	4680.87	4518.43	4370.35	4254.79	4182.42	4157.66	4179.64	4242.62	4335.96	4444.44	4549.48	4631.94	4676.16	4673.95	4626.61	4544.06	4441.59	4336.01	4242.63	4173.02	4133.28	4122.39	4130.73	4139.72	4123.83	4055.95	3915.95	3699.84	3425.16	3128.17	2852.58	2634.18	2488.92	2409.04	2367.96
3.52e-07	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	113.644	113.652	113.668	113.75	114.078	115.401	89.8245	89.3898	94.8302	104.395	118.583	138.959	168.326	211.496	276.96	380.531	553.855	866.28	1487.63	2888.59	6437.01	13634.4	14053.8	8339.54	5170.06	3702.13	2992.61	2661.04	2557.01	2623.89	2850.26	3250.71	3851.18	4659	5596.33	6420.73	6788.81	6556.62	5929.65	5217.42	4607.21	4158.39	3869.65	3723.37	3702.91	3796.17	3992.96	4278.91	4626.44	4986.15	5286.78	5454.78	5449.43	5286.16	5024.46	4733.99	4468.77	4260.64	4124.08	4063.08	4075.71	4155.76	4292.17	4467.3	4655.56	4824.72	4941.76	4982.72	4941.55	4831.96	4680.87	4518.43	4370.35	4254.79	4182.42	4157.66	4179.64	4242.62	4335.96	4444.44	4549.48	4631.94	4676.16	4673.95	4626.61	4544.06	4441.58	4336.01	4242.63	4173.02	4133.28	4122.39	4130.73	4139.72	4123.83	4055.95	3915.95	3699.84	3425.16	3128.17	2852.58	2634.18	2488.92	2409.04	2367.96
3.84e-07	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	113.644	113.652	113.668	113.75	114.078	115.401	89.8245	89.3898	94.8302	104.395	118.583	138.959	168.326	211.496	276.96	380.531	553.855	866.28	1487.63	2888.59	6437.01	13634.4	14053.8	8339.54	5170.06	3702.13	2992.61	2661.04	2557.01	2623.89	2850.26	3250.7	3851.18	4659	5596.33	6420.73	6788.81	6556.62	5929.65	5217.42	4607.21	4158.39	3869.65	3723.37	3702.91	3796.17	3992.96	4278.91	4626.44	4986.15	5286.78	5454.78	5449.43	5286.16	5024.46	4733.99	4468.77	4260.64	4124.08	4063.08	4075.71	4155.76	4292.17	4467.3	4655.56	4824.72	4941.76	4982.72	4941.55	4831.96	4680.87	4518.43	4370.35	4254.79	4182.42	4157.66	4179.64	4242.62	4335.96	4444.44	4549.48	4631.94	4676.16	4673.95	4626.61	4544.06	4441.58	4336.01	4242.63	4173.02	4133.28	4122.39	4130.73	4139.72	4123.83	4055.95	3915.95	3699.84	3425.15	3128.17	2852.58	2634.18	2488.92	2409.04	2367.96
4.16e-07	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	113.644	113.652	113.668	113.75	114.078	115.401	89.8245	89.3898	94.8301	104.395	118.583	138.959	168.326	211.496	276.96	380.531	553.855	866.28	1487.63	2888.59	6437.01	13634.4	14053.8	8339.54	5170.06	3702.13	2992.61	2661.04	2557.01	2623.89	2850.25	3250.7	3851.18	4659	5596.33	6420.73	6788.81	6556.62	5929.65	5217.42	4607.21	4158.39	3869.65	3723.37	3702.91	3796.17	3992.96	4278.91	4626.44	4986.14	5286.78	5454.78	5449.43	5286.16	5024.46	4733.99	4468.77	4260.64	4124.08	4063.08	4075.71	4155.76	4292.17	4467.3	4655.56	4824.72	4941.76	4982.72	4941.55	4831.96	4680.87	4518.43	4370.35	4254.79	4182.42	4157.66	4179.64	4242.62	4335.96	4444.44	4549.48	4631.94	4676.16	4673.95	4626.61	4544.06	4441.58	4336.01	4242.63	4173.02	4133.28	4122.39	4130.73	4139.72	4123.82	4055.95	3915.95	3699.84	3425.15	3128.17	2852.57	2634.18	2488.92	2409.03	2367.96
4.48e-07	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	113.644	113.652	113.668	113.75	114.078	115.401	89.8245	89.3898	94.8301	104.395	118.583	138.959	168.326	211.496	276.96	380.531	553.855	866.28	1487.63	2888.59	6437.01	13634.4	14053.8	8339.54	5170.06	3702.13	2992.61	2661.04	2557.01	2623.88	2850.25	3250.7	3851.18	4659	5596.32	6420.73	6788.81	6556.62	5929.64	5217.42	4607.21	4158.39	3869.65	3723.37	3702.91	3796.17	3992.96	4278.91	4626.44	4986.14	5286.78	5454.78	5449.43	5286.16	5024.46	4733.99	4468.77	4260.64	4124.08	4063.08	4075.71	4155.76	4292.17	4467.3	4655.56	4824.72	4941.76	4982.72	4941.55	4831.96	4680.87	4518.43	4370.35	4254.78	4182.42	4157.65	4179.64	4242.61	4335.96	4444.44	4549.48	4631.94	4676.16	4673.94	4626.61	4544.06	4441.58	4336.01	4242.63	4173.01	4133.28	4122.39	4130.73	4139.72	4123.82	4055.95	3915.94	3699.84	3425.15	3128.17	2852.57	2634.18	2488.92	2409.03	2367.95
4.8e-07	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	113.644	113.652	113.668	113.75	114.078	115.401	89.8245	89.3897	94.8301	104.395	118.583	138.959	168.326	211.496	276.96	380.531	553.855	866.28	1487.63	2888.59	6437.01	13634.4	14053.8	8339.54	5170.06	3702.12	2992.61	2661.04	2557.01	2623.88	2850.25	3250.7	3851.18	4659	5596.32	6420.73	6788.81	6556.62	5929.64	5217.42	4607.21	4158.39	3869.65	3723.37	3702.91	3796.17	3992.96	4278.9	4626.44	4986.14	5286.78	5454.78	5449.43	5286.15	5024.46	4733.99	4468.77	4260.64	4124.08	4063.08	4075.71	4155.76	4292.17	4467.3	4655.56	4824.72	4941.76	4982.71	4941.55	4831.96	4680.87	4518.43	4370.35	4254.78	4182.42	4157.65	4179.64	4242.61	4335.96	4444.44	4549.48	4631.94	4676.16	4673.94	4626.61	4544.06	4441.58	4336.01	4242.63	4173.01	4133.28	4122.39	4130.73	4139.71	4123.82	4055.95	3915.94	3699.84	3425.15	3128.17	2852.57	2634.18	2488.92	2409.03	2367.95
5.12e-07	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	113.644	113.652	113.668	113.75	114.078	115.401	89.8245	89.3897	94.8301	104.395	118.583	138.959	168.326	211.496	276.96	380.531	553.855	866.28	1487.63	2888.59	6437.01	13634.4	14053.8	8339.54	5170.06	3702.12	2992.61	2661.04	2557.01	2623.88	2850.25	3250.7	3851.18	4659	5596.32	6420.73	6788.81	6556.62	5929.64	5217.42	4607.21	4158.39	3869.65	3723.37	3702.91	3796.17	3992.96	4278.9	4626.44	4986.14	5286.78	5454.78	5449.43	5286.15	5024.46	4733.99	4468.77	4260.64	4124.08	4063.08	4075.71	4155.76	4292.17	4467.3	4655.56	4824.72	4941.76	4982.71	4941.55	4831.96	4680.87	4518.43	4370.35	4254.78	4182.41	4157.65	4179.64	4242.61	4335.96	4444.43	4549.47	4631.94	4676.16	4673.94	4626.61	4544.06	4441.58	4336	4242.63	4173.01	4133.28	4122.39	4130.72	4139.71	4123.82	4055.94	3915.94	3699.84	3425.15	3128.17	2852.57	2634.18	2488.91	2409.03	2367.95
5.76e-07	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	113.644	113.652	113.668	113.75	114.078	115.401	89.8245	89.3897	94.8301	104.395	118.583	138.959	168.326	211.496	276.96	380.53	553.855	866.28	1487.63	2888.59	6437	13634.4	14053.8	8339.54	5170.06	3702.12	2992.61	2661.04	2557.01	2623.88	2850.25	3250.7	3851.18	4659	5596.32	6420.73	6788.8	6556.62	5929.64	5217.42	4607.21	4158.39	3869.65	3723.36	3702.91	3796.17	3992.96	4278.9	4626.44	4986.14	5286.78	5454.77	5449.42	5286.15	5024.46	4733.99	4468.77	4260.64	4124.08	4063.08	4075.71	4155.76	4292.17	4467.3	4655.56	4824.71	4941.75	4982.71	4941.55	4831.96	4680.87	4518.42	4370.34	4254.78	4182.41	4157.65	4179.63	4242.61	4335.95	4444.43	4549.47	4631.93	4676.15	4673.94	4626.6	4544.06	4441.58	4336	4242.62	4173.01	4133.27	4122.38	4130.72	4139.71	4123.82	4055.94	3915.94	3699.83	3425.15	3128.17	2852.57	2634.18	2488.91	2409.03	2367.95
6.4e-07	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	113.644	113.652	113.668	113.75	114.078	115.401	89.8244	89.3897	94.8301	104.395	118.583	138.959	168.326	211.496	276.96	380.53	553.855	866.28	1487.63	2888.59	6437	13634.4	14053.8	8339.54	5170.06	3702.12	2992.61	2661.04	2557.01	2623.88	2850.25	3250.7	3851.18	4659	5596.32	6420.73	6788.8	6556.62	5929.64	5217.42	4607.21	4158.39	3869.65	3723.36	3702.91	3796.17	3992.96	4278.9	4626.44	4986.14	5286.78	5454.77	5449.42	5286.15	5024.46	4733.99	4468.77	4260.64	4124.08	4063.08	4075.71	4155.75	4292.17	4467.29	4655.56	4824.71	4941.75	4982.71	4941.54	4831.95	4680.87	4518.42	4370.34	4254.78	4182.41	4157.65	4179.63	4242.61	4335.95	4444.43	4549.47	4631.93	4676.15	4673.94	4626.6	4544.05	4441.57	4336	4242.62	4173.01	4133.27	4122.38	4130.72	4139.71	4123.82	4055.94	3915.94	3699.83	3425.15	3128.16	2852.57	2634.18	2488.91	2409.03	2367.95
