# eta = 0.5, tau = 0, delta = 0.1
# N = 256, D = 100, M = 121
# q_min = 3.8147e-07, q_max = 40
# h_initial = 1e-09, v_therm = 2.5	D0 = 0.00625
# Prefactor m(q->0) c = 3.86447
#t	m[q->0]
12094.6	0.251231
13194.1	0.147659
14293.7	0.0868535
15393.2	0.0511167
16492.7	0.0300974
17592.2	0.0177344
19791.2	0.00616742
21990.2	0.00214577
24189.3	0.000746944
26388.3	0.00026012
28587.3	9.06159e-05
30786.3	3.15762e-05
32985.3	1.1006e-05
35184.4	3.84342e-06
39582.4	4.72016e-07
43980.5	5.80079e-08
48378.5	7.17428e-09
52776.6	9.20136e-10
57174.6	1.44006e-10
61572.7	4.29078e-11
65970.7	2.60796e-11
70368.7	2.05597e-11
79164.8	1.45438e-11
87960.9	1.08007e-11
96757	8.32574e-12
105553	6.63327e-12
114349	5.43326e-12
123145	4.54992e-12
131941	3.87572e-12
140737	3.3441e-12
158330	2.55609e-12
175922	1.99821e-12
193514	1.58477e-12
211106	1.27077e-12
228698	1.02905e-12
246291	8.41426e-13
263883	6.94879e-13
281475	5.79769e-13
316659	4.16515e-13
351844	3.11949e-13
387028	2.42792e-13
422212	1.95317e-13
457397	1.61385e-13
492581	1.36131e-13
527766	1.16617e-13
562950	1.01042e-13
633319	7.76124e-14
703687	6.07928e-14
774056	4.82381e-14
844425	3.86761e-14
914794	3.13124e-14
985162	2.56011e-14
1.05553e+06	2.11458e-14
1.1259e+06	1.76511e-14
1.26664e+06	1.27031e-14
1.40737e+06	9.53874e-15
1.54811e+06	7.44607e-15
1.68885e+06	6.00747e-15
1.82959e+06	4.97645e-15
1.97032e+06	4.2064e-15
2.11106e+06	3.60911e-15
2.2518e+06	3.13069e-15
2.53327e+06	2.40792e-15
2.81475e+06	1.88707e-15
3.09622e+06	1.49755e-15
3.3777e+06	1.20066e-15
3.65917e+06	9.72015e-16
3.94065e+06	7.94709e-16
4.22212e+06	6.56442e-16
4.5036e+06	5.48022e-16
5.06655e+06	3.94581e-16
5.6295e+06	2.96487e-16
6.19245e+06	2.31615e-16
6.7554e+06	1.87002e-16
7.31835e+06	1.55006e-16
7.8813e+06	1.31087e-16
8.44425e+06	1.12517e-16
9.0072e+06	9.76285e-17
1.01331e+07	7.51129e-17
1.1259e+07	5.88724e-17
1.23849e+07	4.67214e-17
1.35108e+07	3.74588e-17
1.46367e+07	3.03249e-17
1.57626e+07	2.47932e-17
1.68885e+07	2.04798e-17
1.80144e+07	1.70979e-17
2.02662e+07	1.23121e-17
2.2518e+07	9.2528e-18
2.47698e+07	7.22964e-18
2.70216e+07	5.83814e-18
2.92734e+07	4.83999e-18
3.15252e+07	4.09365e-18
3.3777e+07	3.51406e-18
3.60288e+07	3.04929e-18
4.05324e+07	2.34623e-18
4.5036e+07	1.839e-18
4.95396e+07	1.45945e-18
5.40432e+07	1.1701e-18
5.85468e+07	9.47257e-19
6.30504e+07	7.74464e-19
6.7554e+07	6.39729e-19
7.20576e+07	5.34091e-19
8.10648e+07	3.84607e-19
9.0072e+07	2.89053e-19
9.90792e+07	2.25861e-19
1.08086e+08	1.82397e-19
1.17094e+08	1.51219e-19
1.26101e+08	1.27905e-19
1.35108e+08	1.09798e-19
1.44115e+08	9.52779e-20
1.6213e+08	7.33116e-20
1.80144e+08	5.74627e-20
1.98158e+08	4.5603e-20
2.16173e+08	3.65619e-20
2.34187e+08	2.95987e-20
2.52202e+08	2.41995e-20
2.70216e+08	1.99895e-20
2.8823e+08	1.66886e-20
3.24259e+08	1.20178e-20
3.60288e+08	9.03215e-21
3.96317e+08	7.05765e-21
4.32346e+08	5.69957e-21
4.68374e+08	4.72535e-21
5.04403e+08	3.99685e-21
5.40432e+08	3.43107e-21
5.76461e+08	2.97734e-21
6.48518e+08	2.29092e-21
7.20576e+08	1.79566e-21
7.92634e+08	1.42506e-21
8.64691e+08	1.14253e-21
9.36749e+08	9.24935e-22
1.00881e+09	7.56213e-22
1.08086e+09	6.24655e-22
1.15292e+09	5.21507e-22
1.29704e+09	3.75549e-22
1.44115e+09	2.82249e-22
1.58527e+09	2.20548e-22
1.72938e+09	1.78109e-22
1.8735e+09	1.47665e-22
2.01761e+09	1.249e-22
2.16173e+09	1.0722e-22
2.30584e+09	9.3041e-23
2.59407e+09	7.15908e-23
2.8823e+09	5.6114e-23
3.17053e+09	4.45327e-23
3.45876e+09	3.57038e-23
3.74699e+09	2.8904e-23
4.03523e+09	2.36315e-23
4.32346e+09	1.95203e-23
4.61169e+09	1.6297e-23
5.18815e+09	1.17358e-23
5.76461e+09	8.82023e-24
6.34107e+09	6.89208e-24
6.91753e+09	5.56589e-24
7.49399e+09	4.61453e-24
8.07045e+09	3.90312e-24
8.64691e+09	3.35061e-24
9.22337e+09	2.90753e-24
1.03763e+10	2.23721e-24
1.15292e+10	1.75356e-24
1.26821e+10	1.39165e-24
1.38351e+10	1.11574e-24
1.4988e+10	9.0325e-25
1.61409e+10	7.38483e-25
1.72938e+10	6.10009e-25
1.84467e+10	5.0928e-25
2.07526e+10	3.66744e-25
2.30584e+10	2.75632e-25
2.53643e+10	2.15377e-25
2.76701e+10	1.73934e-25
2.9976e+10	1.44204e-25
3.22818e+10	1.21972e-25
3.45876e+10	1.04707e-25
3.68935e+10	9.08602e-26
4.15052e+10	6.99128e-26
4.61169e+10	5.47988e-26
5.07285e+10	4.34889e-26
5.53402e+10	3.4867e-26
5.99519e+10	2.82265e-26
6.45636e+10	2.30776e-26
6.91753e+10	1.90628e-26
7.3787e+10	1.5915e-26
8.30103e+10	1.14607e-26
9.22337e+10	8.6135e-27
1.01457e+11	6.73054e-27
1.1068e+11	5.43543e-27
1.19904e+11	4.50638e-27
1.29127e+11	3.81164e-27
1.38351e+11	3.27208e-27
1.47574e+11	2.83939e-27
1.66021e+11	2.18478e-27
1.84467e+11	1.71247e-27
2.02914e+11	1.35903e-27
2.21361e+11	1.0896e-27
2.39808e+11	8.82085e-28
2.58254e+11	7.21181e-28
2.76701e+11	5.95718e-28
2.95148e+11	4.97349e-28
3.32041e+11	3.58154e-28
3.68935e+11	2.69177e-28
4.05828e+11	2.10335e-28
4.42722e+11	1.69863e-28
4.79615e+11	1.4083e-28
5.16509e+11	1.19119e-28
5.53402e+11	1.02258e-28
5.90296e+11	8.87364e-29
6.64083e+11	6.82799e-29
7.3787e+11	5.35201e-29
8.11657e+11	4.24753e-29
8.85444e+11	3.40554e-29
9.59231e+11	2.75706e-29
1.03302e+12	2.25423e-29
1.1068e+12	1.86216e-29
1.18059e+12	1.55475e-29
1.32817e+12	1.11976e-29
1.47574e+12	8.41704e-30
1.62331e+12	6.57817e-30
1.77089e+12	5.31336e-30
1.91846e+12	4.40603e-30
2.06604e+12	3.72753e-30
2.21361e+12	3.20057e-30
2.36118e+12	2.77797e-30
2.65633e+12	2.13861e-30
2.95148e+12	1.67727e-30
3.24663e+12	1.33203e-30
3.54177e+12	1.06882e-30
3.83692e+12	8.66082e-31
4.13207e+12	7.08862e-31
4.42722e+12	5.86254e-31
4.72237e+12	4.90107e-31
5.31266e+12	3.54011e-31
5.90296e+12	2.66962e-31
6.49325e+12	2.09347e-31
7.08355e+12	1.69676e-31
7.67385e+12	1.41182e-31
8.26414e+12	1.19843e-31
8.85444e+12	1.03245e-31
9.44473e+12	8.9912e-32
1.06253e+13	6.96924e-32
1.18059e+13	5.50525e-32
1.29865e+13	4.40558e-32
1.41671e+13	3.56368e-32
1.53477e+13	2.91209e-32
1.65283e+13	2.40399e-32
1.77089e+13	2.00522e-32
1.88895e+13	1.69022e-32
2.12506e+13	1.2388e-32
2.36118e+13	9.44178e-33
2.5973e+13	7.4461e-33
2.83342e+13	6.03793e-33
3.06954e+13	5.00228e-33
3.30566e+13	4.21048e-33
3.54177e+13	3.58441e-33
3.77789e+13	3.0757e-33
4.25013e+13	2.29783e-33
4.72237e+13	1.73462e-33
5.1946e+13	1.31558e-33
5.66684e+13	9.9984e-34
6.13908e+13	7.60575e-34
6.61131e+13	5.78802e-34
7.08355e+13	4.40549e-34
7.55579e+13	3.35344e-34
8.50026e+13	1.94292e-34
9.44473e+13	1.12573e-34
1.03892e+14	6.52248e-35
1.13337e+14	3.77914e-35
1.22782e+14	2.18964e-35
1.32226e+14	1.26869e-35
1.41671e+14	7.3508e-36
1.51116e+14	4.25885e-36
1.70005e+14	1.42782e-36
1.88895e+14	4.78681e-37
2.07784e+14	1.60479e-37
2.26674e+14	5.38012e-38
2.45563e+14	1.8037e-38
2.64453e+14	6.04697e-39
2.83342e+14	2.02727e-39
3.02231e+14	6.79349e-40
3.4001e+14	7.54782e-41
3.77789e+14	8.38425e-42
4.15568e+14	9.31336e-43
4.53347e+14	1.03454e-43
4.91126e+14	1.14919e-44
5.28905e+14	1.27654e-45
5.66684e+14	1.418e-46
6.04463e+14	1.56926e-47
6.80021e+14	1.72701e-49
7.55579e+14	1.89387e-51
8.31137e+14	2.07684e-53
9.06694e+14	2.27749e-55
9.82252e+14	2.49753e-57
1.05781e+15	2.73883e-59
1.13337e+15	3.00343e-61
1.20893e+15	3.17317e-63
1.36004e+15	-1.36356e-68
1.51116e+15	-2.59652e-73
1.66227e+15	7.05801e-78
1.81339e+15	-8.97062e-83
1.9645e+15	5.31137e-88
2.11562e+15	4.62076e-93
2.26674e+15	-1.72356e-97
2.41785e+15	1.36345e-102
2.72008e+15	-1.1246e-107
3.02231e+15	-1.89184e-115
3.32455e+15	4.14704e-119
3.62678e+15	-1.71101e-125
3.92901e+15	-1.45278e-130
4.23124e+15	1.2535e-136
4.53347e+15	4.80851e-142
4.8357e+15	-2.84125e-147
5.44017e+15	4.90485e-155
6.04463e+15	4.62919e-161
6.64909e+15	7.55038e-168
7.25355e+15	7.24702e-175
7.85802e+15	2.84348e-182
8.46248e+15	-4.5549e-189
9.06694e+15	-1.18313e-195
9.67141e+15	-6.5567e-202
1.08803e+16	7.77487e-211
