1.28e-07	4.8e-09	1256.47	-0.119863
1.44e-07	5.4e-09	1256.47	-0.119862
1.6e-07	6e-09	1256.47	-0.119862
1.76e-07	6.6e-09	1256.47	-0.119862
1.92e-07	7.2e-09	1256.47	-0.119861
2.08e-07	7.8e-09	1256.47	-0.119861
2.24e-07	8.4e-09	1256.47	-0.119861
2.4e-07	8.99999e-09	1256.47	-0.11986
2.56e-07	9.59999e-09	1256.47	-0.11986
2.88e-07	1.08e-08	1256.47	-0.11986
3.2e-07	1.2e-08	1256.47	-0.11986
3.52e-07	1.32e-08	1256.47	-0.11986
3.84e-07	1.44e-08	1256.47	-0.11986
4.16e-07	1.56e-08	1256.47	-0.11986
4.48e-07	1.68e-08	1256.47	-0.11986
4.8e-07	1.8e-08	1256.47	-0.11986
5.12e-07	1.92e-08	1256.47	-0.11986
5.76e-07	2.16e-08	1256.47	-0.119859
6.4e-07	2.39999e-08	1256.47	-0.119859
7.04e-07	2.63999e-08	1256.47	-0.119859
7.68e-07	2.87999e-08	1256.47	-0.119859
8.32e-07	3.11999e-08	1256.47	-0.119859
8.96e-07	3.35999e-08	1256.47	-0.119859
9.6e-07	3.59999e-08	1256.46	-0.119859
1.024e-06	3.83998e-08	1256.46	-0.119859
1.152e-06	4.31998e-08	1256.46	-0.119858
1.28e-06	4.79998e-08	1256.46	-0.119858
1.408e-06	5.27997e-08	1256.46	-0.119858
1.536e-06	5.75997e-08	1256.46	-0.119858
1.664e-06	6.23996e-08	1256.46	-0.119858
1.792e-06	6.71995e-08	1256.46	-0.119857
1.92e-06	7.19995e-08	1256.46	-0.119857
2.048e-06	7.67994e-08	1256.46	-0.119857
2.304e-06	8.63992e-08	1256.45	-0.119857
2.56e-06	9.5999e-08	1256.45	-0.119856
2.816e-06	1.05599e-07	1256.45	-0.119856
3.072e-06	1.15199e-07	1256.45	-0.119855
3.328e-06	1.24798e-07	1256.44	-0.119855
3.584e-06	1.34398e-07	1256.44	-0.119855
3.84e-06	1.43998e-07	1256.44	-0.119854
4.096e-06	1.53598e-07	1256.44	-0.119854
4.608e-06	1.72797e-07	1256.43	-0.119853
5.12e-06	1.91996e-07	1256.43	-0.119852
5.632e-06	2.11195e-07	1256.42	-0.119851
6.144e-06	2.30394e-07	1256.42	-0.11985
6.656e-06	2.49593e-07	1256.42	-0.11985
7.168e-06	2.68792e-07	1256.41	-0.119849
7.68e-06	2.87991e-07	1256.41	-0.119848
8.192e-06	3.0719e-07	1256.4	-0.119847
9.216e-06	3.45587e-07	1256.39	-0.119845
1.024e-05	3.83985e-07	1256.39	-0.119844
1.1264e-05	4.22381e-07	1256.38	-0.119842
1.2288e-05	4.60778e-07	1256.37	-0.119841
1.3312e-05	4.99174e-07	1256.36	-0.119839
1.4336e-05	5.3757e-07	1256.35	-0.119837
1.536e-05	5.75965e-07	1256.34	-0.119836
1.6384e-05	6.1436e-07	1256.33	-0.119834
1.8432e-05	6.9115e-07	1256.32	-0.119831
2.048e-05	7.67938e-07	1256.3	-0.119827
2.2528e-05	8.44725e-07	1256.28	-0.119824
2.4576e-05	9.21511e-07	1256.26	-0.119821
2.6624e-05	9.98296e-07	1256.25	-0.119817
2.8672e-05	1.07508e-06	1256.23	-0.119814
3.072e-05	1.15186e-06	1256.21	-0.119811
3.2768e-05	1.22864e-06	1256.19	-0.119808
3.6864e-05	1.3822e-06	1256.16	-0.119801
4.096e-05	1.53575e-06	1256.12	-0.119794
4.5056e-05	1.6893e-06	1256.09	-0.119788
4.9152e-05	1.84284e-06	1256.05	-0.119781
5.3248e-05	1.99638e-06	1256.02	-0.119775
5.7344e-05	2.14992e-06	1255.98	-0.119768
6.144e-05	2.30344e-06	1255.95	-0.119762
6.5536e-05	2.45697e-06	1255.91	-0.119755
7.3728e-05	2.764e-06	1255.84	-0.119742
8.192e-05	3.07101e-06	1255.77	-0.119729
9.0112e-05	3.378e-06	1255.7	-0.119716
9.8304e-05	3.68498e-06	1255.63	-0.119702
0.000106496	3.99193e-06	1255.56	-0.119689
0.000114688	4.29886e-06	1255.49	-0.119676
0.00012288	4.60578e-06	1255.42	-0.119663
0.000131072	4.91267e-06	1255.35	-0.11965
0.000147456	5.5264e-06	1255.21	-0.119624
0.00016384	6.14005e-06	1255.08	-0.119597
0.000180224	6.75362e-06	1254.94	-0.119571
0.000196608	7.36711e-06	1254.8	-0.119545
0.000212992	7.98053e-06	1254.66	-0.119519
0.000229376	8.59386e-06	1254.52	-0.119492
0.00024576	9.20712e-06	1254.38	-0.119466
0.000262144	9.82029e-06	1254.24	-0.11944
0.000294912	1.10464e-05	1253.96	-0.119388
0.00032768	1.22722e-05	1253.68	-0.119335
0.000360448	1.34977e-05	1253.4	-0.119283
0.000393216	1.47229e-05	1253.12	-0.119231
0.000425984	1.59477e-05	1252.85	-0.119178
0.000458752	1.71723e-05	1252.57	-0.119126
0.00049152	1.83965e-05	1252.29	-0.119074
0.000524288	1.96204e-05	1252.01	-0.119022
0.000589824	2.20673e-05	1251.46	-0.118918
0.00065536	2.4513e-05	1250.9	-0.118814
0.000720896	2.69573e-05	1250.35	-0.11871
0.000786432	2.94005e-05	1249.8	-0.118606
0.000851968	3.18424e-05	1249.25	-0.118502
0.000917504	3.4283e-05	1248.69	-0.118398
0.00098304	3.67224e-05	1248.14	-0.118295
0.00104858	3.91605e-05	1247.59	-0.118193
0.00117965	4.40331e-05	1246.49	-0.117986
0.00131072	4.89006e-05	1245.4	-0.11778
0.00144179	5.37633e-05	1244.3	-0.117575
