# eta = 0.5, tau = 0, delta = 0.1
# N = 256, D = 100, S = 121
# q_min = 3.8147e-07, q_max = 40
# h_initial = 1e-09, v_therm = 2.5	D0 = 0.00625
# Prefactor m(q->0) c = 20.7828
# m(q->0) results stored in memory kernel array m_kernel[0][]
#t	q^2 m[0]	q^2 m[1]	q^2 m[2]	q^2 m[3]	q^2 m[4]	q^2 m[5]	q^2 m[6]	q^2 m[7]	q^2 m[8]	q^2 m[9]	q^2 m[10]	q^2 m[11]	q^2 m[12]	q^2 m[13]	q^2 m[14]	q^2 m[15]	q^2 m[16]	q^2 m[17]	q^2 m[18]	q^2 m[19]	q^2 m[20]	q^2 m[21]	q^2 m[22]	q^2 m[23]	q^2 m[24]	q^2 m[25]	q^2 m[26]	q^2 m[27]	q^2 m[28]	q^2 m[29]	q^2 m[30]	q^2 m[31]	q^2 m[32]	q^2 m[33]	q^2 m[34]	q^2 m[35]	q^2 m[36]	q^2 m[37]	q^2 m[38]	q^2 m[39]	q^2 m[40]	q^2 m[41]	q^2 m[42]	q^2 m[43]	q^2 m[44]	q^2 m[45]	q^2 m[46]	q^2 m[47]	q^2 m[48]	q^2 m[49]	q^2 m[50]	q^2 m[51]	q^2 m[52]	q^2 m[53]	q^2 m[54]	q^2 m[55]	q^2 m[56]	q^2 m[57]	q^2 m[58]	q^2 m[59]	q^2 m[60]	q^2 m[61]	q^2 m[62]	q^2 m[63]	q^2 m[64]	q^2 m[65]	q^2 m[66]	q^2 m[67]	q^2 m[68]	q^2 m[69]	q^2 m[70]	q^2 m[71]	q^2 m[72]	q^2 m[73]	q^2 m[74]	q^2 m[75]	q^2 m[76]	q^2 m[77]	q^2 m[78]	q^2 m[79]	q^2 m[80]	q^2 m[81]	q^2 m[82]	q^2 m[83]	q^2 m[84]	q^2 m[85]	q^2 m[86]	q^2 m[87]	q^2 m[88]	q^2 m[89]	q^2 m[90]	q^2 m[91]	q^2 m[92]	q^2 m[93]	q^2 m[94]	q^2 m[95]	q^2 m[96]	q^2 m[97]	q^2 m[98]	q^2 m[99]	q^2 m[100]	q^2 m[101]	q^2 m[102]	q^2 m[103]	q^2 m[104]	q^2 m[105]	q^2 m[106]	q^2 m[107]	q^2 m[108]	q^2 m[109]	q^2 m[110]	q^2 m[111]	q^2 m[112]	q^2 m[113]	q^2 m[114]	q^2 m[115]	q^2 m[116]	q^2 m[117]	q^2 m[118]	q^2 m[119]	q^2 m[120]
2.88e-07	3769.41	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.37	1881.42	1881.64	1882.53	1411.85	1324.52	1291.77	1272.42	1257.02	1243.76	1233.06	1225.38	1220.33	1216.65	1212.79	1207.66	1201.05	1193.59	1186.35	1180.21	1175.42	1171.45	1167.37	1162.36	1156.21	1149.43	1142.85	1137.15	1132.39	1128.1	1123.52	1118.11	1111.79	1104.98	1098.34	1092.42	1087.32	1082.62	1077.67	1071.94	1065.43	1058.61	1052.14	1046.4	1041.3	1036.33	1030.92	1024.73	1017.84	1010.7	1003.87	997.744	992.26	986.944	981.173	974.603	967.435	960.278	953.697	947.831	942.335	936.626	930.225	922.994	915.205	907.398	900.125	893.64	887.699	881.622	874.734	866.987	859.081	851.805	845.368	839.339	833.013	825.81	817.525	808.389	798.975	789.985	781.977	775.04	768.403	760.452	751.909	744.563	738.11	731.476	723.618	713.848	701.98	688.335	673.658	658.953	645.288	633.579	624.422	617.972	613.913	611.505	609.708
3.2e-07	3769.41	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.36	1881.42	1881.64	1882.53	1411.85	1324.52	1291.77	1272.42	1257.02	1243.76	1233.06	1225.38	1220.33	1216.64	1212.79	1207.66	1201.05	1193.59	1186.35	1180.21	1175.42	1171.45	1167.37	1162.36	1156.21	1149.43	1142.85	1137.15	1132.39	1128.09	1123.52	1118.11	1111.79	1104.98	1098.34	1092.42	1087.32	1082.62	1077.67	1071.94	1065.43	1058.61	1052.14	1046.4	1041.3	1036.33	1030.92	1024.73	1017.84	1010.7	1003.87	997.744	992.259	986.944	981.173	974.603	967.434	960.278	953.697	947.831	942.335	936.626	930.224	922.994	915.204	907.398	900.125	893.64	887.699	881.622	874.734	866.987	859.081	851.805	845.368	839.339	833.013	825.81	817.524	808.389	798.975	789.985	781.977	775.039	768.403	760.452	751.908	744.563	738.109	731.476	723.618	713.848	701.98	688.335	673.657	658.953	645.287	633.579	624.421	617.972	613.913	611.505	609.708
3.52e-07	3769.41	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.36	1881.42	1881.64	1882.53	1411.85	1324.52	1291.77	1272.42	1257.02	1243.76	1233.06	1225.38	1220.33	1216.64	1212.79	1207.66	1201.05	1193.59	1186.35	1180.21	1175.42	1171.45	1167.37	1162.36	1156.21	1149.43	1142.85	1137.15	1132.39	1128.09	1123.52	1118.11	1111.79	1104.98	1098.34	1092.42	1087.32	1082.62	1077.67	1071.94	1065.43	1058.61	1052.14	1046.4	1041.3	1036.33	1030.92	1024.73	1017.84	1010.7	1003.87	997.744	992.259	986.944	981.173	974.602	967.434	960.277	953.697	947.831	942.335	936.626	930.224	922.994	915.204	907.398	900.125	893.64	887.699	881.622	874.734	866.987	859.081	851.805	845.367	839.339	833.013	825.81	817.524	808.389	798.974	789.985	781.977	775.039	768.403	760.451	751.908	744.563	738.109	731.476	723.617	713.848	701.98	688.335	673.657	658.953	645.287	633.579	624.421	617.972	613.913	611.505	609.708
3.84e-07	3769.41	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.36	1881.42	1881.64	1882.53	1411.85	1324.52	1291.77	1272.42	1257.02	1243.76	1233.06	1225.38	1220.33	1216.64	1212.79	1207.66	1201.05	1193.59	1186.35	1180.21	1175.42	1171.45	1167.37	1162.36	1156.21	1149.43	1142.85	1137.15	1132.39	1128.09	1123.52	1118.11	1111.79	1104.98	1098.34	1092.42	1087.32	1082.62	1077.67	1071.94	1065.43	1058.61	1052.14	1046.4	1041.3	1036.33	1030.92	1024.73	1017.84	1010.7	1003.87	997.744	992.259	986.944	981.173	974.602	967.434	960.277	953.697	947.831	942.334	936.626	930.224	922.994	915.204	907.398	900.125	893.64	887.699	881.621	874.734	866.987	859.081	851.805	845.367	839.338	833.013	825.81	817.524	808.388	798.974	789.984	781.977	775.039	768.402	760.451	751.908	744.562	738.109	731.476	723.617	713.848	701.98	688.335	673.657	658.953	645.287	633.578	624.421	617.971	613.913	611.505	609.708
4.16e-07	3769.41	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.36	1881.42	1881.64	1882.53	1411.85	1324.52	1291.77	1272.42	1257.02	1243.76	1233.06	1225.38	1220.33	1216.64	1212.79	1207.66	1201.05	1193.59	1186.35	1180.21	1175.42	1171.45	1167.37	1162.36	1156.21	1149.43	1142.85	1137.15	1132.39	1128.09	1123.52	1118.11	1111.79	1104.98	1098.34	1092.42	1087.32	1082.62	1077.67	1071.94	1065.43	1058.61	1052.14	1046.4	1041.29	1036.33	1030.92	1024.73	1017.84	1010.7	1003.87	997.743	992.259	986.943	981.173	974.602	967.434	960.277	953.697	947.83	942.334	936.626	930.224	922.993	915.204	907.398	900.125	893.639	887.698	881.621	874.733	866.986	859.08	851.805	845.367	839.338	833.012	825.809	817.524	808.388	798.974	789.984	781.976	775.039	768.402	760.451	751.908	744.562	738.109	731.476	723.617	713.848	701.98	688.335	673.657	658.952	645.287	633.578	624.421	617.971	613.913	611.505	609.708
4.48e-07	3769.41	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.36	1881.42	1881.63	1882.53	1411.85	1324.52	1291.77	1272.42	1257.02	1243.76	1233.06	1225.38	1220.33	1216.64	1212.79	1207.66	1201.05	1193.59	1186.35	1180.21	1175.42	1171.45	1167.37	1162.36	1156.21	1149.43	1142.85	1137.15	1132.39	1128.09	1123.52	1118.11	1111.79	1104.98	1098.34	1092.42	1087.32	1082.62	1077.67	1071.94	1065.43	1058.61	1052.14	1046.4	1041.29	1036.33	1030.92	1024.73	1017.84	1010.7	1003.87	997.743	992.259	986.943	981.172	974.602	967.434	960.277	953.697	947.83	942.334	936.626	930.224	922.993	915.204	907.398	900.124	893.639	887.698	881.621	874.733	866.986	859.08	851.804	845.367	839.338	833.012	825.809	817.524	808.388	798.974	789.984	781.976	775.039	768.402	760.451	751.908	744.562	738.109	731.475	723.617	713.847	701.979	688.334	673.657	658.952	645.287	633.578	624.421	617.971	613.912	611.504	609.708
4.8e-07	3769.41	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.36	1881.42	1881.63	1882.53	1411.85	1324.52	1291.77	1272.42	1257.02	1243.76	1233.06	1225.38	1220.33	1216.64	1212.79	1207.66	1201.05	1193.59	1186.35	1180.21	1175.42	1171.45	1167.37	1162.36	1156.21	1149.43	1142.85	1137.15	1132.39	1128.09	1123.52	1118.11	1111.79	1104.98	1098.34	1092.42	1087.32	1082.62	1077.67	1071.94	1065.43	1058.61	1052.14	1046.4	1041.29	1036.33	1030.92	1024.73	1017.84	1010.7	1003.87	997.743	992.258	986.943	981.172	974.602	967.433	960.277	953.696	947.83	942.334	936.625	930.223	922.993	915.203	907.397	900.124	893.639	887.698	881.621	874.733	866.986	859.08	851.804	845.367	839.338	833.012	825.809	817.523	808.388	798.974	789.984	781.976	775.038	768.402	760.451	751.907	744.562	738.108	731.475	723.617	713.847	701.979	688.334	673.656	658.952	645.287	633.578	624.421	617.971	613.912	611.504	609.707
5.12e-07	3769.41	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.36	1881.42	1881.63	1882.53	1411.85	1324.52	1291.77	1272.42	1257.02	1243.76	1233.06	1225.38	1220.33	1216.64	1212.79	1207.66	1201.05	1193.59	1186.35	1180.21	1175.42	1171.45	1167.37	1162.36	1156.21	1149.43	1142.85	1137.15	1132.39	1128.09	1123.52	1118.11	1111.79	1104.98	1098.34	1092.42	1087.32	1082.62	1077.67	1071.94	1065.43	1058.61	1052.14	1046.4	1041.29	1036.33	1030.92	1024.73	1017.84	1010.7	1003.87	997.743	992.258	986.943	981.172	974.601	967.433	960.276	953.696	947.83	942.334	936.625	930.223	922.993	915.203	907.397	900.124	893.639	887.698	881.621	874.733	866.986	859.08	851.804	845.367	839.338	833.012	825.809	817.523	808.388	798.973	789.984	781.976	775.038	768.402	760.45	751.907	744.562	738.108	731.475	723.616	713.847	701.979	688.334	673.656	658.952	645.286	633.578	624.42	617.971	613.912	611.504	609.707
5.76e-07	3769.4	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.36	1881.41	1881.63	1882.53	1411.85	1324.52	1291.77	1272.42	1257.02	1243.76	1233.06	1225.38	1220.33	1216.64	1212.79	1207.66	1201.05	1193.59	1186.35	1180.21	1175.42	1171.45	1167.37	1162.36	1156.21	1149.43	1142.85	1137.14	1132.39	1128.09	1123.52	1118.11	1111.79	1104.98	1098.34	1092.42	1087.32	1082.62	1077.66	1071.94	1065.43	1058.61	1052.14	1046.4	1041.29	1036.33	1030.92	1024.73	1017.84	1010.7	1003.87	997.743	992.258	986.942	981.172	974.601	967.433	960.276	953.696	947.83	942.333	936.625	930.223	922.992	915.203	907.397	900.124	893.638	887.697	881.62	874.732	866.986	859.08	851.804	845.366	839.337	833.011	825.808	817.523	808.387	798.973	789.983	781.975	775.038	768.401	760.45	751.907	744.561	738.108	731.475	723.616	713.847	701.979	688.334	673.656	658.952	645.286	633.577	624.42	617.97	613.912	611.504	609.707
6.4e-07	3769.4	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.36	1881.41	1881.63	1882.52	1411.85	1324.52	1291.77	1272.42	1257.02	1243.76	1233.06	1225.38	1220.33	1216.64	1212.78	1207.66	1201.05	1193.59	1186.35	1180.21	1175.42	1171.45	1167.37	1162.36	1156.21	1149.43	1142.85	1137.14	1132.39	1128.09	1123.52	1118.11	1111.79	1104.98	1098.34	1092.42	1087.31	1082.62	1077.66	1071.94	1065.43	1058.61	1052.14	1046.4	1041.29	1036.33	1030.92	1024.73	1017.84	1010.7	1003.87	997.742	992.257	986.942	981.171	974.601	967.432	960.276	953.695	947.829	942.333	936.624	930.223	922.992	915.202	907.396	900.123	893.638	887.697	881.62	874.732	866.985	859.079	851.803	845.366	839.337	833.011	825.808	817.522	808.387	798.973	789.983	781.975	775.037	768.401	760.45	751.907	744.561	738.107	731.474	723.616	713.846	701.978	688.333	673.656	658.951	645.286	633.577	624.42	617.97	613.911	611.503	609.707
