# eta = 0.5, tau = 0, delta = 0.1
# N = 256, D = 100, M = 121
# q_min = 3.8147e-07, q_max = 40
# h_initial = 1e-09, v_therm = 2.5	D0 = 0.00625
# Prefactor m(q->0) c = 0.000253578
#t	m[q->0]
21990.2	2.35521e-08
24189.3	5.98209e-09
26388.3	2.94496e-09
28587.3	2.04827e-09
30786.3	1.55518e-09
32985.3	1.20184e-09
35184.4	9.32706e-10
39582.4	5.65088e-10
43980.5	3.45439e-10
48378.5	2.13877e-10
52776.6	1.34829e-10
57174.6	8.71173e-11
61572.7	5.81286e-11
65970.7	4.03487e-11
70368.7	2.92978e-11
79164.8	1.77677e-11
87960.9	1.2636e-11
96757	9.97969e-12
105553	8.36267e-12
114349	7.24032e-12
123145	6.39196e-12
131941	5.7181e-12
140737	5.16699e-12
158330	4.3192e-12
175922	3.69903e-12
193514	3.22552e-12
211106	2.85061e-12
228698	2.54472e-12
246291	2.28917e-12
263883	2.07182e-12
281475	1.88448e-12
316659	1.57848e-12
351844	1.34096e-12
387028	1.15367e-12
422212	1.00426e-12
457397	8.83894e-13
492581	7.85967e-13
527766	7.05497e-13
562950	6.38683e-13
633319	5.35039e-13
703687	4.58894e-13
774056	4.00609e-13
844425	3.54351e-13
914794	3.16525e-13
985162	2.84864e-13
1.05553e+06	2.57894e-13
1.1259e+06	2.34622e-13
1.26664e+06	1.96571e-13
1.40737e+06	1.67016e-13
1.54811e+06	1.43705e-13
1.68885e+06	1.25112e-13
1.82959e+06	1.10134e-13
1.97032e+06	9.79502e-14
2.11106e+06	8.79393e-14
2.2518e+06	7.96274e-14
2.53327e+06	6.67322e-14
2.81475e+06	5.7255e-14
3.09622e+06	4.99969e-14
3.3777e+06	4.42331e-14
3.65917e+06	3.95173e-14
3.94065e+06	3.55683e-14
4.22212e+06	3.22032e-14
4.5036e+06	2.92987e-14
5.06655e+06	2.45484e-14
5.6295e+06	2.08581e-14
6.19245e+06	1.79474e-14
6.7554e+06	1.56258e-14
7.31835e+06	1.37557e-14
7.8813e+06	1.22346e-14
8.44425e+06	1.09847e-14
9.0072e+06	9.94694e-15
1.01331e+07	8.33692e-15
1.1259e+07	7.15355e-15
1.23849e+07	6.24715e-15
1.35108e+07	5.52724e-15
1.46367e+07	4.93816e-15
1.57626e+07	4.44481e-15
1.68885e+07	4.02436e-15
1.80144e+07	3.66144e-15
2.02662e+07	3.06784e-15
2.2518e+07	2.60668e-15
2.47698e+07	2.24294e-15
2.70216e+07	1.95282e-15
2.92734e+07	1.71912e-15
3.15252e+07	1.52903e-15
3.3777e+07	1.37285e-15
3.60288e+07	1.24317e-15
4.05324e+07	1.04197e-15
4.5036e+07	8.9409e-16
4.95396e+07	7.80817e-16
5.40432e+07	6.90846e-16
5.85468e+07	6.17223e-16
6.30504e+07	5.55562e-16
6.7554e+07	5.03012e-16
7.20576e+07	4.57651e-16
8.10648e+07	3.83457e-16
9.0072e+07	3.25816e-16
