#1:t 2:diff_msd 
7.2e-08 0.00625
1.44e-07 0.00625
1.6e-07 0.00625
1.76e-07 0.00625
1.92e-07 0.00625
2.08e-07 0.00625
2.24e-07 0.00624994791667
2.4e-07 0.00624994791667
2.64e-07 0.00625002604167
2.88e-07 0.00625002604167
3.2e-07 0.00625
3.52e-07 0.00625
3.84e-07 0.00625
4.16e-07 0.00625
4.48e-07 0.00625
4.8e-07 0.00625
5.28e-07 0.00625
5.76e-07 0.00624986979167
6.4e-07 0.00624986979167
7.04e-07 0.00625
7.68e-07 0.00625
8.32e-07 0.00625
8.96e-07 0.00625
9.6e-07 0.00624986979167
1.056e-06 0.00624986979167
1.152e-06 0.00625
1.28e-06 0.00624993489583
1.408e-06 0.00624993489583
1.536e-06 0.00624993489583
1.664e-06 0.00624986979167
1.792e-06 0.00624993489583
1.92e-06 0.00624993489583
2.112e-06 0.00624986979167
2.304e-06 0.00624986979167
2.56e-06 0.00624993489583
2.816e-06 0.00625
3.072e-06 0.00624967447917
3.328e-06 0.00624967447917
3.584e-06 0.00625
3.84e-06 0.00625
4.224e-06 0.00624983723958
4.608e-06 0.00624967447917
5.12e-06 0.00624967447917
5.632e-06 0.00624967447917
6.144e-06 0.00624967447917
6.656e-06 0.00624967447917
7.168e-06 0.00624967447917
7.68e-06 0.00624967447917
8.448e-06 0.00624959309896
9.216e-06 0.00624959309896
1.024e-05 0.00624951171875
1.1264e-05 0.00624943033854
1.2288e-05 0.00624943033854
1.3312e-05 0.00624934895833
1.4336e-05 0.00624926757812
1.536e-05 0.00624918619792
1.6896e-05 0.00624918619792
1.8432e-05 0.00624910481771
2.048e-05 0.0062489827474
2.2528e-05 0.00624890136719
2.4576e-05 0.00624881998698
2.6624e-05 0.00624873860677
2.8672e-05 0.00624853515625
3.072e-05 0.00624837239583
3.3792e-05 0.00624837239583
3.6864e-05 0.00624816894531
4.096e-05 0.00624796549479
4.5056e-05 0.00624776204427
4.9152e-05 0.00624755859375
5.3248e-05 0.00624755859375
5.7344e-05 0.00624715169271
6.144e-05 0.00624694824219
6.7584e-05 0.00624684651693
7.3728e-05 0.00624633789063
8.192e-05 0.00624593098958
9.0112e-05 0.0062456258138
9.8304e-05 0.00624521891276
0.000106496 0.00624471028646
0.000114688 0.00624440511068
0.00012288 0.00624399820964
0.000135168 0.0062434387207
0.000147456 0.00624277750651
0.00016384 0.00624196370443
0.000180224 0.00624114990234
0.000196608 0.00624038696289
